"BehaviorSpace results (NetLogo 6.1.1)"
"value_weight_M.nlogo"
"experiment"
"05/19/2021 16:35:41:944 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","fraction_blue","circle_blue","circle_orange","dominant_con","M_con","eth_con","val_con","dominant_lib","M_lib","val_lib","eth_lib","determinism","[step]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = blue]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = orange]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = blue]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = orange]","mean [count (turtles-on neighbors) with [ shape = [ shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = blue]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = orange]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = blue]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and  shape = ""circle""  and color = orange]","count turtles with [movers? = TRUE] / count turtles","count turtles with [movers? = TRUE and color = blue and shape = ""square""] / count turtles with [color = blue and shape = ""square""]","count turtles with [movers? = TRUE and color = blue and shape = ""circle""] / count turtles with [color = blue and shape = ""circle""]","count turtles with [movers? = TRUE and color = orange and shape =  ""square""] / count turtles with [color = orange and shape =  ""square""]","count turtles with [movers? = TRUE and color = orange and shape = ""circle""] / count turtles with [color = orange and shape =  ""circle""]","count turtles with [movers? = TRUE and shape =  ""circle""] / count turtles with [shape =  ""circle""]","count turtles with [movers? = TRUE and shape =  ""square""] / count turtles with [shape =  ""square""]","count turtles with [movers? = TRUE and color = blue] / count turtles with [color = blue]","count turtles with [movers? = TRUE and color = orange] / count turtles with [color = orange]"
"35","70","50","50","50","0.5","0","1","0.5","0.5","0.2","1","0.5","2","2000","0.5383914053426248","0.5515997803733654","0.5074005359719644","0.5256932935587232","0.5222270615563303","0.5167115902964962","0.5331529581529586","0.5286239089603364","0.4587310499719259","0.4658536585365854","0.474025974025974","0.4330543933054393","0.46403712296983757","0.46920492721164614","0.44819819819819817","0.4701834862385321","0.44774477447744776"
"23","70","50","50","50","0.5","0","1","0.5","0.5","0.1","1","0.5","6","2000","0.6042758846657931","0.6342944517256445","0.5238441978733241","0.5538542630875247","0.5787079510703361","0.5713548492791609","0.6079779241793809","0.5956366347835034","0.363480251860332","0.38073394495412843","0.33737864077669905","0.41284403669724773","0.32397408207343414","0.3302857142857143","0.3967889908256881","0.3596698113207547","0.3670745272525028"
"56","70","50","50","50","0.5","0","1","0.5","0.5","0.3","1","0.5","7","2000","0.6342183583959901","0.6830532212885161","0.5521944922547335","0.540386904761905","0.5976059941520468","0.6282688075230094","0.6325358577165814","0.5913501082251085","0.32550335570469796","0.3150984682713348","0.3204819277108434","0.3802521008403361","0.2818181818181818","0.30058479532163745","0.3483386923901393","0.3176605504587156","0.3329694323144105"
"1","70","50","50","50","0.5","0","1","0.5","0.5","0","1","0.5","0","2000","0.4865372670807455","0.4938694188694194","0.48825288106110054","0.4982252075141981","0.5323291925465843","0.5253217503217503","0.4935475103283328","0.4884529270423763","0.49366391184573005","0.4673913043478261","0.4703196347031963","0.5384615384615384","0.4954128440366973","0.482837528604119","0.5037194473963869","0.4688195991091314","0.5179934569247546"
"24","70","50","50","50","0.5","0","1","0.5","0.5","0.1","1","0.5","7","2000","0.6275039123630671","0.6533043825496666","0.5176918706745174","0.5273526077097505","0.586018891124525","0.584748427672956","0.6440476190476194","0.6212430426716146","0.3263964950711939","0.36384976525821594","0.279826464208243","0.3417190775681342","0.3225108225108225","0.30119176598049835","0.3521594684385382","0.3201803833145434","0.33226837060702874"
"15","70","50","50","50","0.5","0","1","0.5","0.5","0","1","0.5","14","2000","0.758996708834722","0.7191618134064177","0.521611128252597","0.5160992682150812","0.6630026740717893","0.6345694872673292","0.6953640851589016","0.7150174992045816","0.19140625","0.24838012958963282","0.1490280777537797","0.22062350119904076","0.1492204899777283","0.14912280701754385","0.23522727272727273","0.19870410367170627","0.1836027713625866"
"19","70","50","50","50","0.5","0","1","0.5","0.5","0.1","1","0.5","2","2000","0.5558846514535799","0.5333571428571429","0.5274667524667528","0.527502017756255","0.5087918099406066","0.516351190476191","0.5413475975975973","0.560923627925747","0.4890016920473773","0.48577680525164113","0.49324324324324326","0.495","0.4830508474576271","0.48799126637554585","0.49008168028004667","0.4894561598224195","0.48853211009174313"
"51","70","50","50","50","0.5","0","1","0.5","0.5","0.3","1","0.5","2","2000","0.5396994047619049","0.5543130815544614","0.5168412375133353","0.5229313876088072","0.4908273809523805","0.5005446086480566","0.5637959460770051","0.5600384024577577","0.48408710217755446","0.485","0.505091649694501","0.46436781609195404","0.47956989247311826","0.49267782426778245","0.474251497005988","0.49607182940516276","0.4722222222222222"
"33","70","50","50","50","0.5","0","1","0.5","0.5","0.2","1","0.5","0","2000","0.48972812097812085","0.48345836051315494","0.4782395216150974","0.49242931547619034","0.5009143071643075","0.5010110893672539","0.49526278253236783","0.5058700042517013","0.513314447592068","0.5292792792792793","0.5345622119815668","0.4863013698630137","0.5033407572383074","0.5186862967157417","0.5079365079365079","0.5318906605922551","0.49492671927846676"
"16","70","50","50","50","0.5","0","1","0.5","0.5","0","1","0.5","15","2000","0.7379244306418229","0.7388933078799457","0.5188429217840985","0.520483664317745","0.6385041407867491","0.65123024710998","0.6761015944839474","0.6897528293828741","0.20789327404113397","0.24511930585683298","0.17873303167420815","0.27111111111111114","0.13452914798206278","0.15653153153153154","0.2579582875960483","0.21262458471760798","0.203125"
"8","70","50","50","50","0.5","0","1","0.5","0.5","0","1","0.5","7","2000","0.6316421895861154","0.6868874007936513","0.5077093596059116","0.535813704496788","0.585591900311526","0.6088120039682543","0.6359578544061305","0.6165876414805755","0.3580110497237569","0.4135514018691589","0.2850574712643678","0.4125","0.31905781584582443","0.3026607538802661","0.4129955947136564","0.3487833140208575","0.36642027455121434"
"48","70","50","50","50","0.5","0","1","0.5","0.5","0.2","1","0.5","15","2000","0.732757463071997","0.751120448179272","0.5490769876232435","0.5304256215760642","0.6239154013015186","0.6329105716360623","0.6850456261799877","0.6599926253687314","0.18674698795180722","0.21691973969631237","0.1343612334801762","0.23529411764705882","0.1592920353982301","0.1467991169977925","0.22608695652173913","0.17595628415300546","0.19758507135016465"
"2","70","50","50","50","0.5","0","1","0.5","0.5","0","1","0.5","1","2000","0.48823628977657424","0.524804036841074","0.46272522522522463","0.515629395218003","0.5129005867749942","0.5131197334901039","0.5074780137280134","0.5319243520192888","0.488499452354874","0.495260663507109","0.4617117117117117","0.48148148148148145","0.5147679324894515","0.4891067538126362","0.4878854625550661","0.4780600461893764","0.4979166666666667"
"54","70","50","50","50","0.5","0","1","0.5","0.5","0.3","1","0.5","5","2000","0.6148367644000837","0.6065384615384616","0.5319341372912805","0.5067469356763203","0.5597863381160327","0.566402407116693","0.5844258915687491","0.5782188957587597","0.3770672546857773","0.39737991266375544","0.3398268398268398","0.3626373626373626","0.41002277904328016","0.37402885682574916","0.380065717415115","0.3684782608695652","0.3859060402684564"
"30","70","50","50","50","0.5","0","1","0.5","0.5","0.1","1","0.5","13","2000","0.7295865852279161","0.7602269265915322","0.5324795302736484","0.5436481829573936","0.6147409795272032","0.6166615900091377","0.6824499030381391","0.6509894527986637","0.2250139586823004","0.23820754716981132","0.15610859728506787","0.2899786780383795","0.21271929824561403","0.18485523385300667","0.26539753639417696","0.19630484988452657","0.2518918918918919"
"61","70","50","50","50","0.5","0","1","0.5","0.5","0.3","1","0.5","12","2000","0.7612131029517645","0.7256549006549012","0.5734084130412427","0.5621726190476192","0.6136017690013367","0.621575646575647","0.658577599506325","0.679564393939394","0.22395543175487465","0.23758099352051837","0.17278617710583152","0.2773892773892774","0.21136363636363636","0.19158361018826134","0.25672645739910316","0.20518358531317496","0.24395857307249713"
