"BehaviorSpace results (NetLogo 6.1.1)"
"value_weight_M.nlogo"
"M_fin"
"06/06/2021 03:45:21:972 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","fraction_blue","circle_blue","circle_orange","dominant_con","M_con","eth_con","val_con","dominant_lib","M_lib","val_lib","eth_lib","determinism","[step]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 ]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square""]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" ]","mean [count (turtles-on neighbors) with [ shape = [ shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square""]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle""]","mean [count (turtles-on neighbors)] of turtles  / 8","mean [count (turtles-on neighbors)] of turtles with [shape = ""circle""] / 8","mean [count (turtles-on neighbors)] of turtles with [shape = ""square""] / 8","count turtles with [movers? = TRUE] / count turtles","count turtles with [movers? = TRUE and shape =  ""circle""] / count turtles with [shape =  ""circle""]","count turtles with [movers? = TRUE and shape =  ""square""] / count turtles with [shape =  ""square""]"
"6","70","50","50","50","0.5","0.1","1","0.5","0.5","0.1","1","0.5","5","2000","0.5748334145945063","0.5785287664553873","0.6130843537414972","0.5369290298225751","0.5662108843537423","0.5907350482661917","0.6876065946560546","0.7201302378255946","0.6548230593607306","0.4184195565662308","0.3986409966024915","0.4383561643835616"
"61","70","50","50","50","0.5","0.1","1","0.5","0.5","1","1","0.5","18","2000","0.8586138363776548","0.6964212597378424","0.9108757062146888","0.8075633343845267","0.666693570083401","0.7254598969830756","0.7658862876254181","0.8911423841059603","0.6380912162162162","0.11538461538461539","0.0640176600441501","0.1677927927927928"
"55","70","50","50","50","0.5","0.1","1","0.5","0.5","1","1","0.5","12","2000","0.827096930142615","0.6942503961539491","0.8836316152296098","0.7690761904761894","0.6805281578110091","0.7083333333333325","0.7268753525098702","0.8294285714285714","0.6269487750556793","0.17089678510998307","0.14971428571428572","0.1915367483296214"
"19","70","50","50","50","0.5","0.1","1","0.5","0.5","0.1","1","0.5","18","2000","0.6560388770039345","0.6838364630377933","0.7686641999142003","0.5467369242779081","0.6575973294723304","0.7093013270882114","0.7538781163434903","0.85724043715847","0.6476123595505618","0.17340720221606648","0.10819672131147541","0.24044943820224718"
"63","70","50","50","50","0.5","0.1","1","0.5","0.5","1","1","0.5","20","2000","0.8556504389465281","0.6955367118914603","0.905178032751562","0.8073255019447064","0.6665548911872442","0.7238147797750445","0.7717512548800892","0.8967991169977925","0.6440248027057497","0.11154489682097044","0.05739514348785872","0.1668545659526494"
"14","70","50","50","50","0.5","0.1","1","0.5","0.5","0.1","1","0.5","13","2000","0.642222845391661","0.6817616109820253","0.757556235572018","0.5280479379251698","0.6618389971546687","0.701484109268707","0.726457399103139","0.8147321428571429","0.6373873873873874","0.21804932735426008","0.1796875","0.25675675675675674"
"8","70","50","50","50","0.5","0.1","1","0.5","0.5","0.1","1","0.5","7","2000","0.5903569430010391","0.6255702560822874","0.6541441662575689","0.5294310722100658","0.6042696230840572","0.6459153902261119","0.7084731543624161","0.7590262582056893","0.6556064073226545","0.342841163310962","0.30196936542669583","0.38558352402745993"
"4","70","50","50","50","0.5","0.1","1","0.5","0.5","0.1","1","0.5","3","2000","0.5301276455026457","0.5464656084656078","0.5493706143874875","0.5113493805864826","0.5368511971717828","0.5558478385865877","0.6944444444444444","0.7107574094401756","0.6777277840269966","0.4388888888888889","0.41822173435784854","0.46006749156355453"
"7","70","50","50","50","0.5","0.1","1","0.5","0.5","0.1","1","0.5","6","2000","0.5894191638919707","0.6102042703873993","0.6418005784991162","0.5384146977520479","0.5959478279500784","0.6240859542064352","0.6986681465038845","0.7387732749178533","0.65748031496063","0.36570477247502775","0.35268346111719606","0.37907761529808776"
"62","70","50","50","50","0.5","0.1","1","0.5","0.5","1","1","0.5","19","2000","0.8452731283249005","0.6885389905280911","0.9043505291005296","0.7884071810542391","0.6523320105820108","0.723390628978864","0.7697547683923706","0.8963903743315508","0.6381944444444444","0.11335149863760217","0.07272727272727272","0.15555555555555556"
"16","70","50","50","50","0.5","0.1","1","0.5","0.5","0.1","1","0.5","15","2000","0.6454475554141473","0.681116104571004","0.756840577394268","0.535042498152254","0.657426494087568","0.7045956076443883","0.7420789327404114","0.8540742793791575","0.6294593088071349","0.20344635908838243","0.13968957871396895","0.26755852842809363"
"64","70","50","50","50","0.5","0.5","1","0.5","0.5","0.1","1","0.5","0","2000","0.4958686940122584","0.5070551102729324","0.4938682678311495","0.4979001689367544","0.5098201289249329","0.5042471755886385","0.7003575357535754","0.6996951219512195","0.7010098253275109","0.5016501650165016","0.5133037694013304","0.490174672489083"
