"BehaviorSpace results (NetLogo 6.1.1)"
"value_weight.nlogo"
"basic_compl"
"04/26/2021 14:55:56:199 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","fraction_blue","circle_blue","circle_orange","dominant_con","eth_con","val_con","dominant_lib","val_lib","eth_lib","determinism","utility_function","[step]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = blue]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = orange]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = blue]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = orange]","mean [count (turtles-on neighbors) with [ shape = [ shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = blue]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = orange]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = blue]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and  shape = ""circle""  and color = orange]","count turtles with [movers? = TRUE] / count turtles","count turtles with [movers? = TRUE and color = blue and shape = ""square""] / count turtles with [color = blue and shape = ""square""]","count turtles with [movers? = TRUE and color = blue and shape = ""circle""] / count turtles with [color = blue and shape = ""circle""]","count turtles with [movers? = TRUE and color = orange and shape =  ""square""] / count turtles with [color = orange and shape =  ""square""]","count turtles with [movers? = TRUE and color = orange and shape = ""circle""] / count turtles with [color = orange and shape =  ""circle""]","count turtles with [movers? = TRUE and shape =  ""circle""] / count turtles with [shape =  ""circle""]","count turtles with [movers? = TRUE and shape =  ""square""] / count turtles with [shape =  ""square""]","count turtles with [movers? = TRUE and color = blue] / count turtles with [color = blue]","count turtles with [movers? = TRUE and color = orange] / count turtles with [color = orange]"
"45","70","50","50","50","0.5","1","0.5","0.7","1","0.7","20","single-peaked","2000","0.9801203277009727","0.973032228075612","0.769824016563147","0.7681603773584902","0.9310035842293909","0.9196673897324658","0.9342622861501582","0.9279593441150045","0.1040268456375839","0.1888412017167382","0","0.20607375271149675","0.007075471698113208","0.003484320557491289","0.19741100323624594","0.09745293466223699","0.11073446327683616"
"21","70","50","50","50","0.5","1","0.5","0.6","1","0.5","20","single-peaked","2000","0.9619608704137389","0.9801075268817205","0.6652332361516036","0.6553281710914453","0.8566232435597191","0.9634792626728111","0.8840163049346723","0.953884850400337","0.09405940594059406","0.13319672131147542","0.018140589569160998","0.21967963386727687","0.004424778761061947","0.011198208286674132","0.17405405405405405","0.07857911733046287","0.11023622047244094"
"42","70","50","50","50","0.5","1","0.5","0.7","1","0.6","20","single-peaked","2000","0.9654937343358396","0.9585899956312799","0.6828485240249945","0.6963977167540885","0.9683508771929824","0.7408038444735698","0.9648971126912302","0.8090275635092047","0.11337369290038525","0.23157894736842105","0.004524886877828055","0.18077803203661327","0.032397408207343416","0.01878453038674033","0.20723684210526316","0.12213740458015267","0.10444444444444445"
"48","70","50","50","50","0.5","1","0.5","0.7","1","0.8","20","single-peaked","2000","0.9873299319727892","0.9811055573470921","0.7682639114871459","0.77973299695154","0.9280792620078334","0.8711114694184672","0.9322187872871244","0.8948386418585096","0.07679465776293823","0.18614718614718614","0.002277904328018223","0.11060948081264109","0.004415011037527594","0.0033632286995515697","0.14917127071823205","0.09655937846836848","0.056919642857142856"
"62","70","50","50","50","0.5","1","0.5","0.8","1","0.7","5","single-peaked","2000","0.6547619047619049","0.6786850424817233","0.5486876231974275","0.5497003563330097","0.670508274231679","0.6790629322268331","0.7016728913787738","0.6889428787387968","0.3523545706371191","0.39243498817966904","0.2984749455337691","0.41286307053941906","0.30385487528344673","0.3011111111111111","0.40331491712707185","0.3435374149659864","0.3607800650054171"
"9","70","50","50","50","0.5","1","0.5","0.5","1","0.7","20","single-peaked","2000","0.9579792190848944","0.9480292792792796","0.7545226703121437","0.7828482273966857","0.7903969807100921","0.8070061132561138","0.7678201184780131","0.8387901195720576","0.10454296661193213","0.2035225048923679","0.03349282296650718","0.13513513513513514","0.028634361233480177","0.03096330275229358","0.17172774869109947","0.12701829924650163","0.08129175946547884"
"14","70","50","50","50","0.5","1","0.5","0.5","1","0.9","5","single-peaked","2000","0.7108843537414967","0.6866734371473708","0.7111421877988149","0.6684883349312891","0.5820051830255916","0.5922477995937713","0.6400650219927326","0.6318818578885699","0.3301991150442478","0.3242630385487528","0.3152610441767068","0.35308056872037913","0.33109619686800895","0.32275132275132273","0.3383545770567787","0.3194888178913738","0.34177215189873417"
"54","70","50","50","50","0.5","1","0.5","0.7","1","1","20","single-peaked","2000","0.9805370985603543","0.9776785714285717","0.7964894913189157","0.7905827614888749","0.9382336655592475","0.8569463162623544","0.954160320844756","0.8897067997504678","0.08749298934380258","0.21296296296296297","0","0.14858490566037735","0.002183406113537118","0.0010787486515641855","0.1810747663551402","0.10210876803551609","0.07256235827664399"
"11","70","50","50","50","0.5","1","0.5","0.5","1","0.8","5","single-peaked","2000","0.680495798319329","0.6941097524604836","0.6753037937166575","0.6532034125125467","0.5812128851540616","0.6081195943930812","0.6233032009484296","0.5922605107616817","0.36845008273579705","0.3552941176470588","0.34854771784232363","0.37160751565762007","0.40046838407494145","0.37293729372937295","0.3639380530973451","0.35170893054024255","0.3852097130242826"
"13","70","50","50","50","0.5","1","0.5","0.5","1","0.9","1","single-peaked","2000","0.5253462235005856","0.5220640107895007","0.5213173592154481","0.5148633257403191","0.5175482049643128","0.514794065774458","0.5273202911737942","0.5101204035144806","0.4834801762114537","0.5033557046979866","0.47558386411889597","0.4596949891067538","0.49658314350797267","0.4857142857142857","0.48123620309050774","0.4891067538126362","0.477728285077951"
