"BehaviorSpace results (NetLogo 6.1.1)"
"value_weight.nlogo"
"basic_compl_2"
"04/27/2021 07:27:28:906 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","fraction_blue","circle_blue","circle_orange","dominant_con","eth_con","val_con","dominant_lib","val_lib","eth_lib","determinism","utility_function","[step]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = blue]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = orange]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = blue]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = orange]","mean [count (turtles-on neighbors) with [ shape = [ shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = blue]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = orange]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = blue]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and  shape = ""circle""  and color = orange]","count turtles with [movers? = TRUE] / count turtles","count turtles with [movers? = TRUE and color = blue and shape = ""square""] / count turtles with [color = blue and shape = ""square""]","count turtles with [movers? = TRUE and color = blue and shape = ""circle""] / count turtles with [color = blue and shape = ""circle""]","count turtles with [movers? = TRUE and color = orange and shape =  ""square""] / count turtles with [color = orange and shape =  ""square""]","count turtles with [movers? = TRUE and color = orange and shape = ""circle""] / count turtles with [color = orange and shape =  ""circle""]","count turtles with [movers? = TRUE and shape =  ""circle""] / count turtles with [shape =  ""circle""]","count turtles with [movers? = TRUE and shape =  ""square""] / count turtles with [shape =  ""square""]","count turtles with [movers? = TRUE and color = blue] / count turtles with [color = blue]","count turtles with [movers? = TRUE and color = orange] / count turtles with [color = orange]"
"53","70","50","50","50","0.5","1","0.5","0.7","1","1","3","single-peaked","2000","0.6045095340063225","0.5506798820445615","0.5866516888751173","0.5336433836433837","0.5947945345161626","0.5794096767147225","0.5858537341183762","0.576974376974377","0.43195934500282324","0.43683083511777304","0.44468546637744033","0.45642201834862384","0.3857493857493858","0.41705069124423966","0.44629014396456257","0.44073275862068967","0.4223013048635824"
"23","70","50","50","50","0.5","1","0.5","0.6","1","0.6","3","single-peaked","2000","0.5729970173814668","0.5636046995217304","0.5398949251061926","0.5694276147959186","0.6026457883369335","0.5779631940112289","0.5816845517549742","0.5894610969387755","0.449025069637883","0.4470842332613391","0.45774647887323944","0.4737991266375546","0.4174107142857143","0.43707093821510296","0.4603691639522258","0.45219347581552305","0.445916114790287"
"32","70","50","50","50","0.5","1","0.5","0.6","1","0.9","3","single-peaked","2000","0.5827509236453201","0.5728670634920636","0.5597282068279749","0.5628924932418384","0.5559010673234817","0.5517526455026457","0.5592337863219535","0.5767883135787064","0.47282913165266105","0.4698275862068966","0.494199535962877","0.4675925925925926","0.4606986899563319","0.4769403824521935","0.46875","0.48156424581005586","0.4640449438202247"
"11","70","50","50","50","0.5","1","0.5","0.5","1","0.8","3","single-peaked","2000","0.6198111826697889","0.6294901656314705","0.6149193548387103","0.59208970604187","0.5430596213895392","0.5544358178053831","0.5232087996488924","0.5141230068337131","0.43492586490939045","0.4774590163934426","0.42626728110599077","0.4282608695652174","0.4031890660592255","0.4146620847651776","0.45358649789029537","0.45336225596529284","0.41601779755283647"
"18","70","50","50","50","0.5","1","0.5","0.5","1","1","4","single-peaked","2000","0.6458049886621318","0.6380795395081112","0.6431264813617761","0.6367327117327127","0.5909889713461144","0.5543197278911567","0.582748868778281","0.5470529470529468","0.42337807606263983","0.4696969696969697","0.3891402714932127","0.4087912087912088","0.42424242424242425","0.40642939150401836","0.4394765539803708","0.4303097345132743","0.416289592760181"
"27","70","50","50","50","0.5","1","0.5","0.6","1","0.7","4","single-peaked","2000","0.6356613756613758","0.6450735369741851","0.5731496755746178","0.6006899350649354","0.5996587301587308","0.5791113853748844","0.5916721654019576","0.5872104978354982","0.40425531914893614","0.4177777777777778","0.39260969976905313","0.42116630669546434","0.3840909090909091","0.38831615120274915","0.4194961664841183","0.40543601359003395","0.40310077519379844"
"12","70","50","50","50","0.5","1","0.5","0.5","1","0.8","4","single-peaked","2000","0.6368369499698615","0.6239324960753537","0.6305301296720062","0.6222095671981781","0.5859528832630096","0.5998874934589221","0.5647134139697071","0.5903297537693898","0.41440443213296396","0.41350210970464135","0.39588100686498856","0.4461538461538462","0.4009111617312073","0.3984018264840183","0.4294940796555436","0.40504939626783754","0.42393736017897093"
"9","70","50","50","50","0.5","1","0.5","0.5","1","0.7","4","single-peaked","2000","0.620567804288735","0.6341601255886967","0.6069968553459121","0.6156557881773398","0.5833408839222796","0.5812689691261119","0.5762185534591195","0.5639650041050909","0.4008810572687225","0.39957716701902746","0.41745283018867924","0.3978021978021978","0.3900862068965517","0.40315315315315314","0.39870689655172414","0.4080267558528428","0.3939064200217628"
"47","70","50","50","50","0.5","1","0.5","0.7","1","0.8","3","single-peaked","2000","0.5807385075242221","0.5968725604996103","0.5445346320346321","0.5666885604816642","0.5956684188827048","0.588734387197502","0.5665926179084071","0.557129173508484","0.45535219079312256","0.4588744588744589","0.430622009569378","0.45081967213114754","0.4804597701149425","0.45603751465416176","0.45473684210526316","0.44545454545454544","0.4647887323943662"
"14","70","50","50","50","0.5","1","0.5","0.5","1","0.9","3","single-peaked","2000","0.5979849279161208","0.5880442942942945","0.5799919967987197","0.5834453475044284","0.56749126256007","0.5626260188760188","0.5861094437775116","0.5922762321558825","0.44180915609487037","0.43119266055045874","0.4789915966386555","0.4099099099099099","0.4442013129102845","0.46195069667738475","0.42045454545454547","0.45614035087719296","0.42730299667036625"
