"run","density","fraction_blue","circle_blue","circle_orange","dominant_con","eth_con","val_con","dominant_lib","val_lib","eth_lib","determinism","utility_function","step","et_sq_bl","et_sq_or","et_cl_bl","et_cl_or","vl_sq_bl","vl_sq_or","vl_cl_bl","vl_cl_or","mv_gl","mv_sq_bl","mv_cl_bl","mv_sq_or","mv_cl_or","mv_cl","mv_sq","mv_bl","mv_or"
45,70,50,50,50,0.5,1,0.5,0.7,1,0.7,20,"single-peaked",2000,0.980120327700973,0.973032228075612,0.769824016563147,0.76816037735849,0.931003584229391,0.919667389732466,0.934262286150158,0.927959344115004,0.104026845637584,0.188841201716738,0,0.206073752711497,0.00707547169811321,0.00348432055749129,0.197411003236246,0.097452934662237,0.110734463276836
21,70,50,50,50,0.5,1,0.5,0.6,1,0.5,20,"single-peaked",2000,0.961960870413739,0.980107526881721,0.665233236151604,0.655328171091445,0.856623243559719,0.963479262672811,0.884016304934672,0.953884850400337,0.0940594059405941,0.133196721311475,0.018140589569161,0.219679633867277,0.00442477876106195,0.0111982082866741,0.174054054054054,0.0785791173304629,0.110236220472441
42,70,50,50,50,0.5,1,0.5,0.7,1,0.6,20,"single-peaked",2000,0.96549373433584,0.95858999563128,0.682848524024995,0.696397716754088,0.968350877192982,0.74080384447357,0.96489711269123,0.809027563509205,0.113373692900385,0.231578947368421,0.00452488687782805,0.180778032036613,0.0323974082073434,0.0187845303867403,0.207236842105263,0.122137404580153,0.104444444444444
48,70,50,50,50,0.5,1,0.5,0.7,1,0.8,20,"single-peaked",2000,0.987329931972789,0.981105557347092,0.768263911487146,0.77973299695154,0.928079262007833,0.871111469418467,0.932218787287124,0.89483864185851,0.0767946577629382,0.186147186147186,0.00227790432801822,0.110609480812641,0.00441501103752759,0.00336322869955157,0.149171270718232,0.0965593784683685,0.0569196428571429
62,70,50,50,50,0.5,1,0.5,0.8,1,0.7,5,"single-peaked",2000,0.654761904761905,0.678685042481723,0.548687623197427,0.54970035633301,0.670508274231679,0.679062932226833,0.701672891378774,0.688942878738797,0.352354570637119,0.392434988179669,0.298474945533769,0.412863070539419,0.303854875283447,0.301111111111111,0.403314917127072,0.343537414965986,0.360780065005417
9,70,50,50,50,0.5,1,0.5,0.5,1,0.7,20,"single-peaked",2000,0.957979219084894,0.94802927927928,0.754522670312144,0.782848227396686,0.790396980710092,0.807006113256114,0.767820118478013,0.838790119572058,0.104542966611932,0.203522504892368,0.0334928229665072,0.135135135135135,0.0286343612334802,0.0309633027522936,0.171727748691099,0.127018299246502,0.0812917594654788
14,70,50,50,50,0.5,1,0.5,0.5,1,0.9,5,"single-peaked",2000,0.710884353741497,0.686673437147371,0.711142187798815,0.668488334931289,0.582005183025592,0.592247799593771,0.640065021992733,0.63188185788857,0.330199115044248,0.324263038548753,0.315261044176707,0.353080568720379,0.331096196868009,0.322751322751323,0.338354577056779,0.319488817891374,0.341772151898734
54,70,50,50,50,0.5,1,0.5,0.7,1,1,20,"single-peaked",2000,0.980537098560354,0.977678571428572,0.796489491318916,0.790582761488875,0.938233665559247,0.856946316262354,0.954160320844756,0.889706799750468,0.0874929893438026,0.212962962962963,0,0.148584905660377,0.00218340611353712,0.00107874865156419,0.18107476635514,0.102108768035516,0.072562358276644
11,70,50,50,50,0.5,1,0.5,0.5,1,0.8,5,"single-peaked",2000,0.680495798319329,0.694109752460484,0.675303793716657,0.653203412512547,0.581212885154062,0.608119594393081,0.62330320094843,0.592260510761682,0.368450082735797,0.355294117647059,0.348547717842324,0.37160751565762,0.400468384074941,0.372937293729373,0.363938053097345,0.351708930540243,0.385209713024283
13,70,50,50,50,0.5,1,0.5,0.5,1,0.9,1,"single-peaked",2000,0.525346223500586,0.522064010789501,0.521317359215448,0.514863325740319,0.517548204964313,0.514794065774458,0.527320291173794,0.510120403514481,0.483480176211454,0.503355704697987,0.475583864118896,0.459694989106754,0.496583143507973,0.485714285714286,0.481236203090508,0.489106753812636,0.477728285077951
39,70,50,50,50,0.5,1,0.5,0.7,1,0.5,20,"single-peaked",2000,0.969627594627595,0.954043423536815,0.601651651651652,0.622035635446231,0.95390466015466,0.857357877071534,0.947605641355642,0.891551035425207,0.105436573311367,0.214893617021277,0.0135135135135135,0.171806167400881,0.0154525386313466,0.0144927536231884,0.193722943722944,0.117067833698031,0.0937155457552371
29,70,50,50,50,0.5,1,0.5,0.6,1,0.8,5,"single-peaked",2000,0.67498087588449,0.641669454667113,0.632762017336486,0.635229080496342,0.630930866322433,0.585577673692428,0.604128672745694,0.609409799554566,0.363939899833055,0.3714859437751,0.352245862884161,0.398126463700234,0.334075723830735,0.342889908256881,0.383783783783784,0.362649294245385,0.365296803652968
32,70,50,50,50,0.5,1,0.5,0.6,1,0.9,5,"single-peaked",2000,0.671096345514951,0.688208241353937,0.605444286895901,0.639825698211774,0.663827645222994,0.620125091979397,0.659671511284415,0.625180831826402,0.352190793122574,0.374207188160677,0.317617866004963,0.370860927152318,0.341772151898734,0.330672748004561,0.372570194384449,0.348173515981735,0.355987055016181
6,70,50,50,50,0.5,1,0.5,0.5,1,0.6,20,"single-peaked",2000,0.930100878620241,0.933811748998665,0.731452331452332,0.712337662337662,0.754883935350906,0.765548509123276,0.811815661815661,0.805910146763806,0.123888888888889,0.188636363636364,0.0727650727650728,0.191588785046729,0.0509977827050998,0.0622317596566524,0.190092165898618,0.128121606948969,0.119453924914676
44,70,50,50,50,0.5,1,0.5,0.7,1,0.7,5,"single-peaked",2000,0.657299427707592,0.631023493468184,0.596199920469232,0.576552175894282,0.658144368858655,0.656676675094817,0.680214236007555,0.685537707906129,0.355307262569832,0.405895691609977,0.296450939457203,0.446902654867257,0.270334928229665,0.284280936454849,0.426651735722284,0.348913043478261,0.362068965517241
26,70,50,50,50,0.5,1,0.5,0.6,1,0.7,5,"single-peaked",2000,0.65023756139227,0.657285714285715,0.612905671822869,0.577717151675485,0.612566730728166,0.639335978835979,0.64484126984127,0.637331900352734,0.406892718176765,0.441704035874439,0.373673036093418,0.402222222222222,0.412037037037037,0.39202657807309,0.421875,0.406761177753544,0.40702947845805
27,70,50,50,50,0.5,1,0.5,0.6,1,0.7,20,"single-peaked",2000,0.966902541902542,0.964694940476191,0.752763884547254,0.770945017182131,0.887448662448663,0.843402777777778,0.903099927060539,0.872562592047128,0.100917431192661,0.197674418604651,0.0131291028446389,0.185031185031185,0.0144329896907217,0.0138004246284501,0.190998902305159,0.102593010146561,0.0993788819875776
51,70,50,50,50,0.5,1,0.5,0.7,1,0.9,20,"single-peaked",2000,0.979833887043189,0.989158163265306,0.81773544973545,0.826631482552535,0.888934108527132,0.954862882653061,0.917277777777778,0.960143146327357,0.0938529088913282,0.155813953488372,0.0111111111111111,0.216517857142857,0.00404858299595142,0.00741525423728814,0.186788154897494,0.0818181818181818,0.105095541401274
36,70,50,50,50,0.5,1,0.5,0.6,1,1,20,"single-peaked",2000,0.98592210591133,0.985607675906183,0.884608066971081,0.888363292336802,0.906637417898194,0.904553761803229,0.919289519460752,0.909584253127299,0.0865753424657534,0.157327586206897,0.0091324200913242,0.161702127659574,0.011037527593819,0.0101010101010101,0.159528907922912,0.0853658536585366,0.0877573131094258
34,70,50,50,50,0.5,1,0.5,0.6,1,1,1,"single-peaked",2000,0.522295090602613,0.532061389677284,0.500455343427693,0.528342094413523,0.503737357774968,0.512291075370545,0.491197608075488,0.51782622139765,0.498611882287618,0.5,0.497695852534562,0.487858719646799,0.508658008658009,0.503348214285714,0.493922651933702,0.498871331828442,0.498360655737705
59,70,50,50,50,0.5,1,0.5,0.8,1,0.6,5,"single-peaked",2000,0.663193219674702,0.6508662724349,0.551677613574166,0.543138072986204,0.693966784244562,0.699704326174914,0.681267104542967,0.693174232309746,0.339966832504146,0.421810699588477,0.268348623853211,0.394335511982571,0.261682242990654,0.265046296296296,0.408465608465608,0.349240780911063,0.33032694475761
25,70,50,50,50,0.5,1,0.5,0.6,1,0.7,1,"single-peaked",2000,0.534817563388992,0.510050471801624,0.53430430740626,0.497008757525999,0.511448670377242,0.52273425499232,0.522523499638467,0.519969896004379,0.5078125,0.506493506493506,0.505422993492408,0.523041474654378,0.496551724137931,0.501116071428571,0.514508928571429,0.505958829902492,0.509781357882624
4,70,50,50,50,0.5,1,0.5,0.5,1,0.6,1,"single-peaked",2000,0.547218710493047,0.514334415584416,0.519252070393375,0.507215909090909,0.531176253687316,0.506780303030303,0.527924430641822,0.522483766233766,0.497209821428571,0.502212389380531,0.521739130434783,0.481818181818182,0.481818181818182,0.502222222222222,0.492152466367713,0.512061403508772,0.481818181818182
