"BehaviorSpace results (NetLogo 6.1.1)"
"RP/value_weight_2M.nlogo"
"both_sec_1"
"07/15/2021 05:51:55:043 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","fraction_blue","circle_blue","circle_orange","dominant_con","M_con_dom","eth_con","M_con_sec","val_con","dominant_lib","M_lib_dom","val_lib","M_lib_sec","eth_lib","determinism","[step]","et_gl","vl_gl","den_gl","et_sq","et_cl","vl_sq","vl_cl","den_sq","den_cl","et_bl","et_or","vl_bl","vl_or","den_bl","den_or","et_sq_bl","et_cl_bl","et_sq_or","et_cl_or","vl_sq_bl","vl_cl_bl","vl_sq_or","vl_cl_or","den_sq_bl","den_sq_or","den_cl_bl","den_cl_or","cls_et_sq_bl","cls_et_cl_bl","cls_et_sq_or","cls_et_cl_or","cls_vl_sq_bl","cls_vl_cl_bl","cls_vl_sq_or","cls_vl_cl_or","cls_den_sq_bl","cls_den_cl_bl","cls_den_sq_or","cls_den_cl_or","cls_et_bl","cls_et_or","cls_et_sq","cls_et_cl","cls_vl_bl","cls_vl_or","cls_vl_sq","cls_vl_cl","cls_den_bl","cls_den_or","cls_den_sq","cls_den_cl","mv_gl","mv_cl","mv_sq","mv_bl","mv_or","mv_sq_bl","mv_cl_bl","mv_sq_or","mv_cl_or"
"14","70","50","50","50","0.5","1","1","0","0.5","0.5","1","1","0","0.5","2","1000","0.5234083496412265","0.5426275277234174","0.7082191780821918","0.5437554228551014","0.5021260409993599","0.545081151431634","0.5400611253469997","0.6922561629153269","0.7249159192825112","0.5185360966091866","0.5281801983266188","0.5458287190845325","0.5394923045139963","0.7075027685492802","0.7089208242950108","0.5284766118836915","0.5085735402808574","0.5581130581130589","0.49553233992009554","0.5372866624525915","0.5543897159750819","0.5524057024057022","0.5254076233668067","0.6960730088495575","0.6886694386694386","0.7189578713968958","0.7310090702947846","1.0680728866973817","1.0278479634690614","1.1047248709938522","0.9808530589524669","1.0509626569946178","1.1342614704647147","1.08053634179036","1.0749651487045109","0.9920470663110643","1.0246626978100368","0.9814954575228508","1.0418381325132746","1.0479826980196731","1.0454759890955325","1.086968497036721","1.0046139355634374","1.092565940355647","1.077871595422829","1.0662091118571542","1.1049456880698119","1.0083368224639317","1.0103578432829166","0.9866072765713765","1.033154140303456","0.456986301369863","0.44506726457399104","0.4683815648445874","0.42857142857142855","0.4848156182212581","0.4247787610619469","0.43237250554323725","0.5093555093555093","0.4580498866213152"
"5","70","50","50","50","0.5","1","1","0","0.5","0.5","1","1","0","0.5","0","1000","0.5015130353817517","0.4939099494546422","0.6895251396648044","0.5120696993881357","0.4909563713753655","0.49246608140462916","0.4953538175046548","0.6889664804469273","0.6900837988826816","0.4866888087037338","0.5155629825379555","0.49290908096878233","0.4948585418933618","0.6852755453501722","0.6935527747551686","0.5046417124542123","0.470274725274725","0.5185207277065318","0.5123430735930742","0.4986664377289373","0.4876452119309263","0.487081220797296","0.5033252164502166","0.6814903846153846","0.6954592901878914","0.6887362637362637","0.6914772727272728","1.037093760382367","0.9664658533200446","1.0099587623445974","0.9979261172269815","0.9973328754578746","0.9752904238618526","0.974162441594592","1.006650432900433","0.9902550225612352","1.0007838111609035","1.0105528568596094","1.0047666962925312","1.0001985850513042","1.0041977570652134","1.0225712307062855","0.9819323517770854","0.9858181619375647","0.9897170837867236","0.9849321628092583","0.9907076350093096","0.9957551360088269","1.0077825514738536","1.001118332761151","1.0027418775943346","0.4877094972067039","0.5039106145251396","0.47150837988826816","0.48220436280137774","0.4929270946681175","0.4879807692307692","0.47692307692307695","0.4572025052192067","0.5318181818181819"
"59","70","50","50","50","0.5","1","1","0","0.5","0.5","1","1","0","0.5","11","1000","0.6186886386307541","0.6487353651493668","0.7257442116868799","0.728593423512592","0.5182903857745638","0.6102840096777749","0.6838607594936709","0.6359699769053118","0.807753164556962","0.6219421618204809","0.6154565672422817","0.6501251053518748","0.6473547880690737","0.7331305309734514","0.7184065934065934","0.728759103641457","0.5271672134406996","0.7284337544541628","0.509224286729618","0.6069971988795516","0.6883909931404719","0.6134515711046326","0.6792339323789223","0.6423529411764706","0.6298185941043084","0.8136743215031316","0.8017057569296375","1.4623551039884957","1.057833324315738","1.4520646489888434","1.0150910506895858","1.2714698831033604","1.3172376176759626","1.2849897805817614","1.2997155625900456","0.9210363836824712","1.1666851765323298","0.9030640370812049","1.1495240759503778","1.248012258343304","1.226855179096158","1.4571148145487232","1.0366876214352927","1.2957207070638443","1.2925792220783379","1.2783547269693842","1.3085690060353574","1.0511976356460577","1.0300857494214721","0.9118841840852885","1.1581951383752263","0.2414553472987872","0.2120253164556962","0.27367205542725176","0.22566371681415928","0.2571428571428571","0.25176470588235295","0.20250521920668058","0.2947845804988662","0.22174840085287847"
"57","70","50","50","50","0.5","1","1","0","0.5","0.5","1","1","0","0.5","11","1000","0.6149727032886647","0.6434527074680666","0.7402792990142387","0.7197491496598634","0.513700107874865","0.6167875744047625","0.6692261262649606","0.650027808676307","0.8278047464940669","0.6027068519715589","0.6265201075105231","0.6422161172161178","0.6446168669810842","0.7480203619909502","0.7330148619957537","0.6967377155873752","0.5099438202247188","0.7418542252787341","0.5171680497925311","0.6040785334634994","0.6798394863563406","0.6289960404293004","0.6594274846868207","0.6688496583143508","0.6320652173913044","0.826123595505618","0.8293568464730291","1.4391889916997083","1.0533454929076203","1.4380316511241686","1.0024934808080272","1.2269715262562304","1.3391444466954439","1.2775826138196946","1.2989369870961534","0.9527261562298074","1.1767510799069658","0.9003294799752382","1.181356603327687","1.2449578186652275","1.214464667000233","1.4385986963391957","1.0269046408774096","1.283438663807647","1.2885440706027116","1.2527854403371534","1.3182383026535247","1.065498883646477","1.0441246747267026","0.9259158435745221","1.1791457533576528","0.24589266155531217","0.18770226537216828","0.30589543937708563","0.2160633484162896","0.27388535031847133","0.2528473804100228","0.1797752808988764","0.3565217391304348","0.1950207468879668"
"15","70","50","50","50","0.5","1","1","0","0.5","0.5","1","1","0","0.5","2","1000","0.5238199608610572","0.5250998043052845","0.7046575342465753","0.5299631120053658","0.5175337873508604","0.5265645152969096","0.5236009925034312","0.6933911159263272","0.7161862527716186","0.5322934211197875","0.5149570254110611","0.5151623028632675","0.5354940743113387","0.6988210075026795","0.7107623318385651","0.5361431690580162","0.5285814536340849","0.5238760880696361","0.5052442288390765","0.5115122686629231","0.5186817042606517","0.5413901689708142","0.529073268651723","0.6820414847161572","0.7045698924731183","0.715","0.7175058548009368","1.048725920183149","1.0339347833678514","1.0718316824294705","1.0337115668512509","1.0113866633909396","1.0494391466471047","1.0704626851264758","1.0704642076379094","0.9720492612310784","1.0190219178082147","1.004156871409629","1.0225932758012208","1.0411955986533834","1.0535836001963943","1.0603664179562107","1.033829114351673","1.030759578231966","1.0704634139520146","1.0411486895090591","1.0593922520163617","0.9959635290490237","1.0129823699244425","0.988224817821576","1.020712571758344","0.4936986301369863","0.47671840354767187","0.5102925243770314","0.5037513397642015","0.48318385650224216","0.5109170305676856","0.4968421052631579","0.5096774193548387","0.45433255269320844"
"19","70","50","50","50","0.5","1","1","0","0.5","0.5","1","1","0","0.5","3","1000","0.5307765885941788","0.5344035985729793","0.7067046688382194","0.5590051480051486","0.5023017603988159","0.5308455598455605","0.5379926779872254","0.6925675675675675","0.7209651035986914","0.49593977591036464","0.5606266801075274","0.5394005602240897","0.5301219278033797","0.7113235294117647","0.7027469758064516","0.517070169413919","0.4756857581742376","0.5932781364019081","0.5262175884846692","0.5225045787545786","0.5555957867017773","0.5376625502853397","0.5221753918958886","0.6968149038461539","0.6890962671905697","0.7252304147465438","0.7171325051759835","1.120521473012283","1.030839019478761","1.1016313782785445","0.9771096753918965","1.0404901989901965","1.1160386467880812","1.0706750460817225","1.048906294299044","0.9839389603169633","1.0240631426469937","0.9730398430850572","1.0126284722924728","1.0747306673257626","1.0410023636674022","1.1101268154777186","1.0025388306085818","1.0790643476305255","1.0600759461714042","1.0571000229573195","1.0806788580724762","1.0044258957654784","0.9923153550882676","0.9779415001320593","1.0180403010098842","0.46851248642779586","0.46673936750272627","0.4702702702702703","0.4717647058823529","0.4657258064516129","0.47596153846153844","0.46774193548387094","0.4656188605108055","0.4658385093167702"
"58","70","50","50","50","0.5","1","1","0","0.5","0.5","1","1","0","0.5","11","1000","0.6070421894889976","0.6627756994778272","0.7449536279323513","0.6996853836719453","0.5190311550151974","0.6360755612435346","0.6881408308004046","0.6472564389697648","0.8377659574468085","0.6033608858390521","0.6107194786311474","0.6651590767311281","0.66039492132731","0.7397652838427947","0.7501363140676118","0.6911459968602833","0.5167183142237368","0.7085562078712765","0.5212570832090664","0.6352982731554162","0.6946312364425159","0.6368830180474014","0.6818943234914001","0.6417582417582418","0.6529680365296804","0.8364967462039046","0.8389874739039666","1.3830465199180135","1.034000731410603","1.4163397263119402","1.0419457290318637","1.3040332975295343","1.354530911062908","1.307286194939399","1.3296939308082323","0.9106454919875553","1.1869765613073437","0.9265520256484996","1.1905108672254359","1.2073804626015117","1.220772960011873","1.3993762224942006","1.0380492993473902","1.3294474894933845","1.3189909991718696","1.3056287836051497","1.3418746200607925","1.049716041066616","1.064432380190865","0.9184473528425284","1.1887775533655998","0.23949809056192034","0.1702127659574468","0.3124300111982083","0.23580786026200873","0.24318429661941113","0.33186813186813185","0.14099783080260303","0.2922374429223744","0.19832985386221294"
"61","70","50","50","50","0.5","1","1","0","0.5","0.5","1","1","0","0.5","12","1000","0.6108782056150475","0.6420217209690884","0.7570403825717322","0.7090032154340838","0.5143058067108701","0.6187975297300062","0.6648784408278067","0.674652034261242","0.8382120253164557","0.595016519823789","0.6256802721088438","0.6478419341304803","0.6365903195810694","0.7502750275027503","0.763360739979445","0.7008395421660732","0.49508514326501496","0.7163206542779725","0.5329670329670326","0.6273485584710077","0.6671943509737942","0.6111328881145955","0.6626299376299378","0.666289592760181","0.6821646341463414","0.8297644539614561","0.8464137214137214","1.4510231225044568","1.0250277663638716","1.3855246365376637","1.0308776526659402","1.2641006285250904","1.3245356208150594","1.231426226372235","1.3154742010754628","0.9208391236818436","1.1467679833973197","0.9427790719525162","1.1697779433565874","1.2319263919784038","1.2102058295054938","1.4164837279753422","1.0279959048778908","1.2951833833702642","1.272975122397164","1.2468703971647412","1.3199380017277835","1.0369103860439168","1.054995369121433","0.9323963555332029","1.1584428681445829","0.2481402763018066","0.1909282700421941","0.30620985010706636","0.25412541254125415","0.24254881808838644","0.3190045248868778","0.19271948608137046","0.29471544715447157","0.1891891891891892"
"43","70","50","50","50","0.5","1","1","0","0.5","0.5","1","1","0","0.5","8","1000","0.5998186823367468","0.6244653114163945","0.7142857142857143","0.6810167665300124","0.517438543166427","0.612576211500053","0.6365274889351026","0.6560430463576159","0.7733762597984323","0.6114331846839921","0.5874165298303229","0.6216784560971856","0.6274411603721954","0.7131324004305705","0.7155172413793104","0.6819720715290342","0.537948717948718","0.6799685846560853","0.4961323113720371","0.602340767530642","0.6418236525379384","0.6238067680776017","0.6310257664709723","0.6579641350210971","0.6539351851851852","0.7706043956043956","0.776255707762557","1.3206326767284502","1.0417327702795953","1.4060499813750496","1.0259103771934404","1.196038676366028","1.2929907625036403","1.238662666414575","1.2712377982993048","0.951286667698652","1.1141423196036873","0.945461599036503","1.122313004941863","1.1840347677572607","1.2146693530629271","1.3613614577519901","1.0339721788218796","1.2435232826013487","1.2550625603979182","1.2163626981110238","1.2823213354918865","1.0310491236908887","1.0344971344233365","0.9485091515153702","1.1181498897919517","0.31628682601445246","0.26763717805151177","0.36423841059602646","0.310010764262648","0.32298850574712645","0.350210970464135","0.2681318681318681","0.37962962962962965","0.2671232876712329"
"10","70","50","50","50","0.5","1","1","0","0.5","0.5","1","1","0","0.5","1","1000","0.5119740212221006","0.5274162354294071","0.703622392974753","0.5206672354066492","0.5030878389091484","0.532546145494028","0.5221724538872152","0.7012757871878393","0.7060210876803552","0.49472866949983607","0.5278732167972678","0.5314318404707422","0.523714084790034","0.7078089244851259","0.6997626582278481","0.5006883705863296","0.4886588584625534","0.5390228174603175","0.5164377289377292","0.53600583090379","0.5267733421313098","0.5293675595238094","0.5179156491656493","0.7043650793650794","0.6984375","0.7113163972286374","0.7011217948717948","1.0437691203756194","1.0186915790832618","1.0359700141484132","0.9925628081482495","1.0603720129280152","1.0652397662189206","1.047239623726795","1.047327761131868","1.0055178767445507","1.0154412454400021","0.9970559481339188","1.000887919023896","1.0313451210854647","1.0145411403002311","1.0397044396057373","1.0051196980648502","1.0627836115263665","1.0472831345976525","1.0535277709990416","1.055935861245839","1.010434145217235","0.9989476805985849","1.0011077510842807","1.00788191495971","0.49396267837541163","0.4839067702552719","0.503800217155266","0.4977116704805492","0.49050632911392406","0.5238095238095238","0.47113163972286376","0.48541666666666666","0.49572649572649574"
"21","70","50","50","50","0.5","1","1","0","0.5","0.5","1","1","0","0.5","4","1000","0.5584303303070273","0.5698223015441916","0.7145573058120587","0.5880382472137797","0.527540827651816","0.5724658054711258","0.5670643729189787","0.6897606382978724","0.7404273029966704","0.5634199134199136","0.5532810364764008","0.5709472880061116","0.5686613055818358","0.7125668449197861","0.7166114790286976","0.589469429747207","0.5352237777070739","0.5865061883784356","0.5199088706278973","0.5737164413090348","0.5679499416693183","0.5711270190895743","0.5661846818373373","0.6856995884773662","0.6941079295154186","0.7416481069042317","0.7392146017699115","1.1606558504434383","1.0538470318275175","1.1917857536475682","1.056459415922689","1.1236297536701387","1.1604837320901373","1.1185583427062806","1.156876802733115","0.9687694892067436","1.047814625778324","0.980648954193151","1.044376523195831","1.1093647707016765","1.124271951603806","1.1756909313526664","1.0551575730162153","1.1413275465156756","1.1376752786137063","1.121180370076958","1.1586742625347777","1.0067280628116986","1.0124423992143485","0.9745070180405973","1.0460898506758889","0.4117327539380771","0.390677025527192","0.4319148936170213","0.40962566844919784","0.4139072847682119","0.43209876543209874","0.38530066815144765","0.43171806167400884","0.39601769911504425"
