"BehaviorSpace results (NetLogo 6.1.1)"
"RP/value_weight_2M.nlogo"
"int_lib"
"07/15/2021 05:50:13:473 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","fraction_blue","circle_blue","circle_orange","dominant_con","M_con_dom","eth_con","M_con_sec","val_con","dominant_lib","M_lib_dom","val_lib","M_lib_sec","eth_lib","determinism","[step]","et_gl","vl_gl","den_gl","et_sq","et_cl","vl_sq","vl_cl","den_sq","den_cl","et_bl","et_or","vl_bl","vl_or","den_bl","den_or","et_sq_bl","et_cl_bl","et_sq_or","et_cl_or","vl_sq_bl","vl_cl_bl","vl_sq_or","vl_cl_or","den_sq_bl","den_sq_or","den_cl_bl","den_cl_or","cls_et_sq_bl","cls_et_cl_bl","cls_et_sq_or","cls_et_cl_or","cls_vl_sq_bl","cls_vl_cl_bl","cls_vl_sq_or","cls_vl_cl_or","cls_den_sq_bl","cls_den_cl_bl","cls_den_sq_or","cls_den_cl_or","cls_et_bl","cls_et_or","cls_et_sq","cls_et_cl","cls_vl_bl","cls_vl_or","cls_vl_sq","cls_vl_cl","cls_den_bl","cls_den_or","cls_den_sq","cls_den_cl","mv_gl","mv_cl","mv_sq","mv_bl","mv_or","mv_sq_bl","mv_cl_bl","mv_sq_or","mv_cl_or"
"13","70","50","50","50","1","1","1","1","1","0.5","1","0.5","0","0.5","1","1000","0.5262986406003785","0.5053361108885501","0.6926528323051038","0.5449954594471877","0.509681446731235","0.4716924910607868","0.5352375907990312","0.683849821215733","0.7004766949152542","0.5250440917107587","0.5275517830450566","0.5026775693442358","0.5079916720051251","0.6892536475869809","0.6960482062780269","0.5467868700878414","0.5063425787851676","0.5432669789227162","0.5131208397337432","0.47000982431807675","0.5307759220598474","0.4733160477305675","0.5398335893497189","0.6750606796116505","0.6923302107728337","0.7014613778705637","0.6994623655913978","1.094187417919886","1.0132534432928764","1.0859249141470917","1.0256664318893105","0.9988409019775057","1.0025142680431194","1.0058671193129916","1.0196221290365954","0.9847632235950168","1.0232759640164624","1.0099556243523016","1.020359850198116","1.0506774584963872","1.0545121403243698","1.0899823057494655","1.0193678921248075","1.000815696977989","1.0130376120500741","1.0024168195010497","1.0109413394011393","1.0054676036868986","1.0153793519512895","0.9975846242188021","1.0218395308326287","0.48738081884464385","0.4968220338983051","0.4767580452920143","0.4882154882154882","0.48654708520179374","0.470873786407767","0.5031315240083507","0.48243559718969553","0.49032258064516127"
"39","70","50","50","50","1","1","1","1","1","0.5","1","0.5","0","0.5","3","1000","0.5859262166405022","0.5623534798534792","0.7086538461538462","0.6470347727389982","0.523046398046398","0.5628166434504469","0.5618768912247176","0.6958288190682557","0.721850613154961","0.5985147392290255","0.5723306122448982","0.5590299823633157","0.5659428571428579","0.7018518518518518","0.716","0.6638675718221173","0.5299013531659954","0.6284765158910944","0.515798383573613","0.5654638921684381","0.552275074888958","0.5598980366634125","0.5720292704237664","0.6911157024793388","0.7010250569476082","0.7131236442516269","0.7310779816513762","1.27855976795371","1.020550754245623","1.3072311530534753","1.0728606378331134","1.1149992239941031","1.1205581229631039","1.104024297646166","1.160639099410539","0.9876878803015156","1.0191398893947694","1.0018495456707293","1.044798807843531","1.1526950533299807","1.1904476734693872","1.2921965372481836","1.0459767400250528","1.1177110255017348","1.132234644582476","1.1097792969445432","1.140040069151608","1.003031135531124","1.0232505494505406","0.9944234936244596","1.031611782865953","0.42032967032967034","0.4358974358974359","0.40520043336944744","0.4201058201058201","0.4205714285714286","0.3822314049586777","0.4598698481561822","0.4305239179954442","0.4105504587155963"
"57","70","50","50","50","1","1","1","1","1","0.5","1","0.5","0","0.5","5","1000","0.6493595412278583","0.6310006163410766","0.6854611923509561","0.7781768630003248","0.523551300386673","0.6233281809306872","0.6384938291223055","0.6676621160409556","0.7028642936596218","0.6432191669378459","0.6553564807458021","0.6396951947065851","0.6225091371365005","0.684367881548975","0.6865277777777777","0.7810091991342002","0.5047999565122852","0.7753315938247453","0.5413671108356578","0.6414420995671002","0.6379403131115466","0.60513155033703","0.6390197293668012","0.662784090909091","0.6725512528473804","0.7060502283105022","0.6998373101952278","1.5815881048526252","1.022248659087521","1.5317106375782126","1.0695008034064415","1.29747901368635","1.261688405686687","1.2240317366316704","1.2638232244874013","0.9695733523366385","1.0328665038445521","0.9838615346771846","1.0237777524284501","1.3025554428422392","1.2946931364067027","1.5567061792646963","1.0464791802566222","1.2796244734769555","1.2444364929180944","1.2608390280941548","1.2627831236701499","1.0011478402187135","1.004307508436439","0.9767093159856661","1.028205864909261","0.35376827896512936","0.39043381535038935","0.3162684869169511","0.3416856492027335","0.3655555555555556","0.30227272727272725","0.3812785388127854","0.33029612756264237","0.39913232104121477"
"40","70","50","50","50","1","1","1","1","1","0.5","1","0.5","0","0.5","3","1000","0.6034429454749841","0.5601307583179417","0.6859190556492412","0.6635004223418852","0.5416734538741382","0.5608673846478719","0.559373133517946","0.6762749445676275","0.6958380843785633","0.6039201539201544","0.6029641248391252","0.5581676553898774","0.562100493350494","0.6851851851851852","0.6866554054054054","0.65938526272578","0.5436489349838297","0.6678598608393137","0.5397989417989418","0.5594776272577998","0.5567441730790679","0.5623396390519678","0.561867724867725","0.677801724137931","0.6746575342465754","0.6932084309133489","0.6983333333333334","1.316550373051815","1.085467402173105","1.3379760049922707","1.0814215286715285","1.1034486683942668","1.1293590466449925","1.1090933679306574","1.139752203580022","0.9909849828458404","1.013510471503998","0.9863879969507235","1.0210033726812775","1.2058069066486625","1.2079652906405403","1.3269543938832078","1.0833914123490345","1.1158658754796296","1.1246299400502688","1.1061896643997413","1.1346919093824648","1.0017800262319605","1.0039295724898545","0.9887527435752602","1.0173551756428534","0.4272062956717257","0.4526795895096921","0.4024390243902439","0.42536475869809204","0.42905405405405406","0.39655172413793105","0.4566744730679157","0.408675799086758","0.4488888888888889"
"1","70","50","50","50","1","1","1","1","1","0.5","1","0.5","0","0.5","0","1000","0.48823891625615706","0.5071852322686577","0.6899332591768632","0.48912838263058533","0.4873314606741574","0.5097519404237464","0.5045666131621195","0.6887389867841409","0.6911516853932584","0.4859809097211114","0.49046698237306013","0.5045419399562733","0.5097934754012103","0.6920492721164614","0.6878453038674033","0.4874960580258594","0.4844209956709959","0.4907535321821036","0.4901772486772484","0.5041443288132034","0.5049512987012986","0.5153349031920464","0.5041904761904762","0.6948123620309051","0.6826923076923077","0.6892045454545455","0.6930555555555555","0.9815430149277674","0.9753515679915467","0.9749998352082004","0.9738549095267318","0.9982946070552201","1.0201150955785818","1.0204539162327093","1.0185780631353671","1.0051206638722996","0.9970083552432054","0.9875877042868207","1.0025792547274817","0.9784923579827064","0.9744305351455892","0.9782642189229154","0.9745948305655148","1.0090460235728942","1.0195211715986752","1.0093986661694878","1.019337944343259","1.00112355771687","0.9950420663843896","0.9963348746527068","0.9998251021734603","0.4788654060066741","0.4842696629213483","0.473568281938326","0.49048152295632697","0.46740331491712706","0.4966887417218543","0.48409090909090907","0.45054945054945056","0.48444444444444446"
"48","70","50","50","50","1","1","1","1","1","0.5","1","0.5","0","0.5","4","1000","0.609866320830008","0.5845450917797285","0.6941340782122905","0.6850649350649349","0.53533688225012","0.582378012933568","0.5866928862757569","0.6948653198653199","0.6934093437152391","0.6011320395738203","0.6182374700427218","0.5769882039573822","0.5917877982702935","0.692494292237443","0.6957056892778993","0.6819354472099108","0.5270475148483903","0.687843018563358","0.5439075630252103","0.5724855097170135","0.5811164947379388","0.5911597054075873","0.5924585218702871","0.6903341288782816","0.6988877118644068","0.6944748358862144","0.6923076923076923","1.3934525690704775","1.0769578214367792","1.3470886249763792","1.0652019013294611","1.150111181137434","1.157061763716253","1.1876272420646237","1.179644887817368","1.0031056252583275","1.0091223732625914","1.0155346025471055","1.005973356252683","1.2283405831474161","1.2107714128845375","1.3688916469465537","1.0711779363562026","1.153737227071817","1.1837670663783106","1.1699850091482435","1.1681649237303697","1.0062444995025641","1.0109108926323016","1.009689774843409","1.0075741357560568","0.39329608938547483","0.40378197997775306","0.38271604938271603","0.3801369863013699","0.4059080962800875","0.35083532219570407","0.40700218818380746","0.4110169491525424","0.4004524886877828"
"34","70","50","50","50","1","1","1","1","1","0.5","1","0.5","0","0.5","3","1000","0.583209518512632","0.571902643148471","0.6954949944382648","0.6508671369782482","0.516745419226125","0.5620838009726904","0.5815482753189486","0.6804152637485971","0.710308710033076","0.5761675305042657","0.5899901226866299","0.5908203757693558","0.5536870971095861","0.6962868480725624","0.6947325327510917","0.6504580864603909","0.5041985544217691","0.6512556007085551","0.5289915966386554","0.5856457098968619","0.5958333333333331","0.5397077211628637","0.5676055607428158","0.6756912442396313","0.6849015317286652","0.7162388392857143","0.704520697167756","1.325990520924922","1.0278333342974386","1.2783379585960508","1.038348134013433","1.1818080655382268","1.1811558250643102","1.0891071634689458","1.125198233975279","0.9774599144979375","1.036116363171387","0.9907835839968129","1.019164812754919","1.1745456007331845","1.1580810486796522","1.3015491954655567","1.0331544953444527","1.1814767687895698","1.1071920994541051","1.1342611382142505","1.1528377056488015","1.0072536662050895","1.005005182250059","0.9842937158009548","1.0275377946585358","0.41824249165739713","0.42337375964718854","0.41301907968574636","0.4070294784580499","0.42903930131004364","0.4216589861751152","0.39285714285714285","0.4048140043763676","0.4531590413943355"
"49","70","50","50","50","1","1","1","1","1","0.5","1","0.5","0","0.5","4","1000","0.6147228985051962","0.5917105159820917","0.6998350742166025","0.7109604066345632","0.5225255010507972","0.57804708400214","0.6048003485570768","0.6867977528089888","0.7123250807319699","0.621538304496504","0.6075459529184138","0.6079058847547593","0.5746560249381922","0.6992229367631297","0.7004796839729119","0.7209544879898869","0.5281160281160283","0.7006468797564689","0.5165231717687074","0.5989280446691949","0.6163424413424416","0.5564986953685583","0.5924080569727889","0.6944137168141593","0.6789383561643836","0.7037422037422038","0.7215401785714286","1.4055907970563792","1.0296281405606165","1.4384612576490012","1.060446556938237","1.224101250846366","1.2068104421979582","1.1373832886240514","1.1599464538573785","0.9929467165660464","1.0062855810519418","0.9708183971322534","1.0317350216955994","1.21176653363252","1.2473206414882567","1.4217674956401636","1.0444899818277618","1.2151871254874365","1.1487922028729587","1.1814243211234763","1.1842108008884025","0.9998234516332654","1.0016204826902424","0.9820565998109904","1.0185582930092698","0.3952721275426058","0.4284176533907427","0.36067415730337077","0.38692390139335475","0.4040632054176072","0.3561946902654867","0.4158004158004158","0.365296803652968","0.4419642857142857"
"41","70","50","50","50","1","1","1","1","1","0.5","1","0.5","0","0.5","4","1000","0.6220537013932198","0.5967599812850886","0.7056737588652482","0.7161122157642493","0.5242244670696791","0.5997361578464362","0.5936644925230675","0.682620320855615","0.7296770601336303","0.6235232395460902","0.620574505815469","0.6045947976579098","0.5888736765242792","0.713139281828074","0.6981673960612691","0.7163520587939196","0.5250747384155456","0.7158661295320734","0.5233854825115891","0.6105104198127457","0.5983210548793516","0.588681437867989","0.5890697429414251","0.6921247357293869","0.6728896103896104","0.7354260089686099","0.724004424778761","1.4288066635138785","1.047292704587262","1.43564837574649","1.0496341241178797","1.196861603761245","1.2212945362960435","1.1540674605476202","1.2024107336432375","0.982114805036628","1.0435586739374563","0.954820445511936","1.027351614211434","1.2436540784417736","1.2445438393432784","1.43218356858801","1.048471236466818","1.2087191531742152","1.1780008224744767","1.1757394409973498","1.2117895487692418","1.0119341364074272","0.990689251039472","0.9686281803303023","1.0354010002223488","0.381342062193126","0.4131403118040089","0.3508021390374332","0.3906420021762786","0.37199124726477023","0.37209302325581395","0.4103139013452915","0.329004329004329","0.415929203539823"
"43","70","50","50","50","1","1","1","1","1","0.5","1","0.5","0","0.5","4","1000","0.630845702767087","0.6018645776067425","0.7028587135788895","0.7243958587708584","0.5316804184867606","0.6103632478632479","0.5928557946394869","0.6884348290598291","0.7181483578708947","0.6199791192103267","0.6409847679773296","0.5952801279965291","0.6080081979656898","0.7074316628701595","0.6985919234856536","0.7099387135264134","0.5300195248942401","0.7371658522563962","0.5333226083226082","0.5945926890118229","0.595967566981235","0.6242933793235607","0.5897790647790649","0.6919134396355353","0.6853621730382293","0.7229498861047836","0.7134009009009009","1.470818359800166","1.0980700635337408","1.4249784115349433","1.0309392396799413","1.1555172022569562","1.227706686680483","1.2132368130230358","1.2149582319740895","0.9893715538713788","1.0337507717199306","0.9800038549051366","1.0200966153069013","1.284444211666957","1.2390555716798766","1.4464781308601977","1.0643145869866453","1.19161194446872","1.2140490447066359","1.1861653289137313","1.2212963651746649","1.0115611627956518","0.998921161619677","0.9843974658519108","1.026885035086423","0.36613523914238594","0.38165345413363533","0.35149572649572647","0.3735763097949886","0.359192348565356","0.34851936218678814","0.39863325740318906","0.35412474849094566","0.36486486486486486"
